tender_id,supplier_name,fetched_at,financial_offer,technical_result,is_awarded,award_value
1090406,مؤسسة الحمرور التجارية,2026-08-15T21:19:34.385667+00:00,102175.2,مطابق,0,
1090475,شركة الطريق الحديث التجارية,2026-08-15T21:36:23.673732+00:00,48547.25,مطابق,1,48547.25
1090475,شركة رؤية النخبه للتجارة,2026-08-15T21:36:23.673732+00:00,24092.5,غير مطابق,0,
1090475,مؤسسة أصول الانجاز التطوير,2026-08-15T21:36:23.673732+00:00,77949.3,غير مطابق,0,
1090529,مؤسسة جارالله ناصر ناصر العبيدي التجارية,2026-08-15T21:26:38.848521+00:00,9000.01,مطابق,1,9000.01
1090529,مؤسسة خلف المحيط للمقاولات,2026-08-15T21:26:38.848521+00:00,14490.0,مطابق,0,
1090609,شركة اتجاهات الريادة للتجارة,2026-08-15T21:36:36.553411+00:00,115747.5,مطابق,0,
1090609,شركة العربة الفاخرة للتجارة,2026-08-15T21:36:36.553411+00:00,29325.0,مطابق,1,29325.0
1090609,شركة المسمك للتجارة,2026-08-15T21:36:36.553411+00:00,34396.5,مطابق,0,
1090609,شركة صالح مهدي سعيد للمقاولات العامة شركة شخص واحد,2026-08-15T21:36:36.553411+00:00,38985.0,مطابق,0,
1090609,مؤسسة ثلاثية البعد,2026-08-15T21:36:36.553411+00:00,44539.5,مطابق,0,
1090609,مؤسسة عبدالمجيد جميل الجلسي التجارية,2026-08-15T21:36:36.553411+00:00,33465.0,مطابق,0,
1090609,مؤسسة فاء الطبية,2026-08-15T21:36:36.553411+00:00,33292.5,مطابق,0,
1090609,مؤسسة هرم الشرق للتجارة,2026-08-15T21:36:36.553411+00:00,33409.8,مطابق,0,
1090612,مؤسسة إبداعات التطور للمقاولات,2026-08-15T21:36:58.196625+00:00,87000.0,مطابق,0,
1090612,مؤسسة اصالة المشتري للتجارة,2026-08-15T21:36:58.196625+00:00,96151.5,مطابق,0,
1090612,مؤسسة تميز المحترف للتجارة,2026-08-15T21:36:58.196625+00:00,61410.0,مطابق,0,
